frame,time_s,x,y,motion,freezing
0,0.000000,318.496449,241.095260,,False
1,0.033333,318.193449,242.073094,2.119326,False
2,0.066667,318.934585,240.513586,3.529484,False
3,0.100000,318.777162,240.871540,0.728693,False
4,0.133333,318.744854,240.895556,0.076072,True
5,0.166667,318.676826,240.855754,0.161408,True
6,0.200000,318.665337,240.808617,0.078759,True
7,0.233333,318.698211,240.770479,0.101736,True
8,0.266667,318.773267,240.764472,0.154064,True
9,0.300000,318.904911,240.706252,0.247742,True
10,0.333333,318.934687,240.690675,0.057596,True
11,0.366667,318.862451,240.763265,0.195077,True
12,0.400000,318.892285,240.721222,0.117567,True
13,0.433333,318.981453,240.760420,0.169202,True
14,0.466667,318.975616,240.692196,0.129556,True
15,0.500000,318.974206,240.661828,0.067502,True
16,0.533333,318.981943,240.625315,0.061743,True
17,0.566667,319.018511,240.619582,0.072476,True
18,0.600000,318.920469,240.680565,0.203421,True
19,0.633333,319.189606,242.126296,2.768429,False
20,0.666667,318.320138,243.651997,2.910743,False
21,0.700000,318.524964,243.097782,1.225678,False
22,0.733333,317.527745,242.158976,2.649093,False
23,0.766667,318.208482,241.336215,2.085569,False
24,0.800000,316.921354,241.012110,2.299984,False
25,0.833333,316.843443,240.436753,0.866806,False
26,0.866667,315.608543,241.619181,2.944859,False
27,0.900000,316.791377,242.729651,2.983984,False
28,0.933333,317.350816,242.723699,1.087689,False
29,0.966667,318.876714,242.921928,3.114482,False
30,1.000000,318.226611,242.728236,1.217658,False
31,1.033333,316.674772,242.128458,2.990337,False
32,1.066667,317.492782,242.445230,1.689577,False
33,1.100000,318.920920,241.960898,2.608995,False
34,1.133333,319.489900,242.928884,2.052248,False
35,1.166667,321.417460,243.211731,3.292657,False
36,1.200000,322.812174,243.595115,3.725843,False
37,1.233333,322.261297,243.112285,1.300949,False
38,1.266667,322.214706,242.805514,0.640345,False
39,1.300000,323.010797,243.323582,1.628558,False
40,1.333333,323.261352,242.709524,1.443352,False
41,1.366667,322.059577,242.640468,2.308913,False
42,1.400000,321.148934,243.303064,2.562459,False
43,1.433333,320.465391,242.973245,1.529686,False
44,1.466667,320.909680,243.346763,1.111422,False
45,1.500000,320.189885,243.675256,1.349629,False
46,1.533333,319.926685,243.726942,0.437423,False
47,1.566667,319.457091,242.272486,2.769209,False
