beat,time_s,ibi_s,hr_bpm,in_artifact_window,in_removed_window
0,0.096000,,615.805343,False,False
1,0.196658,0.100658,607.743553,False,False
2,0.295384,0.098726,613.173747,False,False
3,0.391558,0.096174,615.708652,False,False
4,0.491698,0.100140,614.945671,False,False
5,0.588691,0.096993,614.945671,False,False
6,0.686139,0.097449,614.945671,False,False
7,0.783709,0.097570,610.907300,False,False
8,0.883044,0.099335,610.907300,False,False
9,0.981258,0.098215,604.017286,False,False
10,1.080872,0.099613,604.017286,False,False
11,1.180382,0.099510,602.954738,False,False
12,1.282152,0.101770,602.954738,False,False
13,1.377301,0.095149,602.954738,False,False
14,1.480181,0.102880,602.954738,False,False
15,1.575766,0.095585,615.382909,False,False
16,1.669882,0.094116,615.382909,False,False
17,1.773175,0.103294,615.382909,False,False
18,1.870676,0.097500,617.528735,False,False
19,1.975782,0.105106,615.382909,False,False
20,2.072943,0.097161,604.061564,False,False
21,2.169951,0.097008,615.382909,False,False
22,2.269847,0.099897,614.474974,False,False
23,2.369175,0.099328,614.474974,False,False
24,2.459465,0.090290,604.061564,False,False
25,2.557109,0.097644,604.061564,False,False
26,2.660264,0.103155,607.293046,False,False
27,2.760787,0.100522,608.640303,False,False
28,2.859586,0.098799,608.640303,False,False
29,2.957798,0.098213,607.644799,False,False
30,3.056379,0.098580,608.640303,False,False
31,3.154172,0.097793,608.640303,False,False
32,3.252914,0.098742,609.213016,False,False
33,3.351402,0.098488,608.640303,False,False
34,3.450689,0.099287,607.644799,False,False
35,3.548941,0.098253,604.308654,False,False
36,3.649253,0.100311,604.308654,False,False
37,3.750729,0.101476,604.308654,False,False
38,3.850341,0.099612,608.889875,False,False
39,3.947065,0.096724,608.889875,False,False
40,4.038783,0.091719,609.976077,False,False
41,4.137323,0.098540,616.625790,False,False
42,4.234627,0.097304,616.625790,False,False
43,4.332992,0.098365,612.305891,False,False
44,4.427089,0.094098,609.976077,False,False
45,4.525080,0.097990,609.976077,False,False
46,4.626123,0.101043,603.086351,False,False
47,4.727455,0.101332,602.632912,False,False
48,4.830694,0.103239,602.632912,False,False
49,4.930182,0.099488,602.632912,False,False
50,5.029745,0.099563,603.086351,False,False
51,5.125008,0.095263,609.752565,False,False
52,5.219384,0.094376,611.220876,False,False
53,5.317549,0.098164,628.036868,False,False
54,5.415949,0.098401,628.036868,False,False
55,5.511485,0.095536,628.036868,False,False
56,5.604925,0.093440,628.036868,False,False
57,5.705588,0.100663,628.036868,False,False
58,5.800134,0.094546,628.036868,False,False
59,5.894755,0.094621,613.918548,False,False
60,6.000400,0.105646,613.918548,False,False
61,6.098133,0.097733,634.108807,False,False
62,6.199987,0.101854,619.971079,False,False
63,6.293964,0.093977,613.918548,False,False
64,6.387972,0.094008,613.918548,False,False
65,6.484751,0.096779,619.971079,False,False
66,6.583227,0.098477,619.971079,False,False
67,6.683238,0.100010,611.280838,False,False
68,6.778560,0.095322,609.280160,False,False
69,6.880704,0.102144,609.280160,False,False
70,6.978859,0.098155,599.937524,False,False
71,7.083181,0.104322,611.280838,False,False
72,7.177994,0.094813,609.487334,False,False
73,7.278291,0.100298,611.280838,False,False
74,7.376414,0.098123,611.476601,False,False
75,7.474858,0.098443,618.650365,False,False
76,7.570941,0.096084,611.476601,False,False
77,7.667757,0.096816,611.476601,False,False
78,7.764743,0.096985,609.487334,False,False
79,7.864437,0.099694,618.650365,False,False
80,7.963783,0.099346,618.650365,False,False
81,8.062930,0.099147,614.763223,False,False
82,8.159410,0.096480,605.164653,False,False
83,8.254805,0.095395,614.763223,False,False
84,8.352404,0.097599,614.763223,False,False
85,8.451763,0.099359,617.844964,False,False
86,8.548875,0.097112,614.763223,False,False
87,8.653989,0.105115,614.763223,False,False
88,8.750731,0.096742,617.844964,False,False
89,8.851447,0.100716,617.844964,False,False
90,8.946998,0.095550,620.207254,False,False
91,9.038506,0.091509,627.940817,False,False
92,9.138800,0.100294,627.940817,False,False
93,9.232539,0.093739,627.940817,False,False
94,9.327460,0.094921,622.441477,False,False
95,9.426879,0.099419,622.441477,False,False
96,9.523273,0.096395,622.441477,False,False
97,9.623900,0.100627,622.441477,False,False
98,9.718319,0.094420,622.441477,False,False
99,9.817010,0.098690,622.441477,False,False
100,9.912335,0.095326,623.105595,False,False
