beat,time_s,ibi_s,hr_bpm,in_artifact_window,in_removed_window
0,0.098942,,610.060473,False,False
1,0.196709,0.097767,613.704858,False,False
2,0.296747,0.100038,610.060473,False,False
3,0.394284,0.097537,606.416088,False,False
4,0.488625,0.094342,607.676858,False,False
5,0.588885,0.100259,607.676858,False,False
6,0.688300,0.099416,607.676858,False,False
7,0.787037,0.098737,607.676858,False,False
8,0.884999,0.097962,603.526868,False,False
9,0.985114,0.100115,607.676858,False,False
10,1.082098,0.096984,607.676858,False,False
11,1.183703,0.101605,599.618482,False,False
12,1.279720,0.096017,599.618482,False,False
13,1.382852,0.103133,618.660004,False,False
14,1.482916,0.100064,620.548148,False,False
15,1.577810,0.094894,620.548148,False,False
16,1.673925,0.096115,615.351118,False,False
17,1.770614,0.096689,615.351118,False,False
18,1.873481,0.102867,615.351118,False,False
19,1.970986,0.097505,615.351118,False,False
20,2.070313,0.099326,614.092245,False,False
21,2.168018,0.097705,614.092245,False,False
22,2.262936,0.094918,614.092245,False,False
23,2.363709,0.100773,614.092245,False,False
24,2.461333,0.097624,614.092245,False,False
25,2.562092,0.100758,605.140449,False,False
26,2.659201,0.097110,605.140449,False,False
27,2.758657,0.099456,614.215386,False,False
28,2.857808,0.099151,605.140449,False,False
29,2.954762,0.096954,608.581018,False,False
30,3.052448,0.097686,605.140449,False,False
31,3.157212,0.104765,605.140449,False,False
32,3.255802,0.098590,608.581018,False,False
33,3.358351,0.102548,593.210755,False,False
34,3.459495,0.101144,593.210755,False,False
35,3.555461,0.095966,608.581018,False,False
36,3.657744,0.102283,619.097681,False,False
37,3.751271,0.093528,619.097681,False,False
38,3.847594,0.096323,622.905824,False,False
39,3.944509,0.096915,622.905824,False,False
40,4.048403,0.103893,622.905824,False,False
41,4.143458,0.095055,622.905824,False,False
42,4.238624,0.095166,619.097681,False,False
43,4.338718,0.100094,610.801626,False,False
44,4.434371,0.095653,610.801626,False,False
45,4.532603,0.098232,610.801626,False,False
46,4.633592,0.100989,610.801626,False,False
47,4.734668,0.101076,625.919542,False,False
48,4.828719,0.094052,610.801626,False,False
49,4.924578,0.095859,608.282049,False,False
50,5.016350,0.091772,625.919542,False,False
51,5.116117,0.099767,625.919542,False,False
52,5.214755,0.098638,608.282049,False,False
53,5.309024,0.094269,605.505418,False,False
54,5.410974,0.101950,605.505418,False,False
55,5.510064,0.099091,608.282049,False,False
56,5.611363,0.101299,609.333587,False,False
57,5.708347,0.096983,609.333587,False,False
58,5.804876,0.096529,616.785919,False,False
59,5.903344,0.098468,616.785919,False,False
60,5.999364,0.096019,618.664301,False,False
61,6.096642,0.097278,616.785919,False,False
62,6.194160,0.097518,616.683661,False,False
63,6.289188,0.095028,616.683661,False,False
64,6.391750,0.102562,616.683661,False,False
65,6.489045,0.097295,615.268608,False,False
66,6.589140,0.100095,616.683661,False,False
67,6.683158,0.094017,616.683661,False,False
68,6.782815,0.099657,620.938041,False,False
69,6.877516,0.094701,620.938041,False,False
70,6.974144,0.096628,629.512699,False,False
71,7.066557,0.092414,629.512699,False,False
72,7.165174,0.098616,629.512699,False,False
73,7.260485,0.095312,624.118041,False,False
74,7.354757,0.094272,624.118041,False,False
75,7.450893,0.096136,621.004822,False,False
76,7.548956,0.098063,621.004822,False,False
77,7.645574,0.096618,621.004822,False,False
78,7.743948,0.098375,621.004822,False,False
79,7.841544,0.097596,614.782176,False,False
80,7.933159,0.091615,614.782176,False,False
81,8.029689,0.096530,614.782176,False,False
82,8.127639,0.097950,614.782176,False,False
83,8.226002,0.098363,612.559093,False,False
84,8.323317,0.097315,611.661275,False,False
85,8.425444,0.102127,609.988276,False,False
86,8.525826,0.100382,597.716933,False,False
87,8.623919,0.098094,597.716933,False,False
88,8.725622,0.101703,594.302563,False,False
89,8.826831,0.101209,597.716933,False,False
90,8.924751,0.097920,611.661275,False,False
91,9.025709,0.100959,611.263589,False,False
92,9.122362,0.096653,612.744647,False,False
93,9.218624,0.096262,612.744647,False,False
94,9.316782,0.098157,620.776652,False,False
95,9.412055,0.095273,621.373684,False,False
96,9.510193,0.098138,621.373684,False,False
97,9.601427,0.091233,612.951772,False,False
98,9.697987,0.096560,612.951772,False,False
99,9.798537,0.100550,611.381830,False,False
100,9.896424,0.097887,596.718637,False,False
101,9.998973,0.102549,596.718637,False,False
102,10.102525,0.103552,596.718637,False,False
103,10.205174,0.102649,608.158961,False,False
104,10.298402,0.093228,608.158961,False,False
105,10.397060,0.098658,610.017843,False,False
106,10.495418,0.098358,619.330190,False,False
107,10.592297,0.096879,619.330190,False,False
108,10.688749,0.096452,619.147861,False,False
109,10.785452,0.096703,619.147861,False,False
110,10.882359,0.096907,619.147861,False,False
111,10.984268,0.101909,619.147861,False,False
112,11.084851,0.100583,619.147861,False,False
113,11.182977,0.098126,611.458710,False,False
114,11.278370,0.095393,611.458710,False,False
115,11.375060,0.096690,618.646565,False,False
116,11.474717,0.099657,618.646565,False,False
117,11.571703,0.096986,620.538707,False,False
118,11.660729,0.089026,620.538707,False,False
119,11.760869,0.100140,633.327897,False,False
120,11.855572,0.094703,633.327897,False,False
121,11.949750,0.094178,633.327897,False,False
122,12.044487,0.094738,601.516029,False,False
123,12.144751,0.100264,601.516029,False,False
124,12.244499,0.099748,598.420272,False,False
125,12.345452,0.100953,598.420272,False,False
126,12.449459,0.104007,598.420272,False,False
127,12.554612,0.105153,598.162908,False,False
128,12.650147,0.095534,594.338179,False,False
129,12.746321,0.096174,598.162908,False,False
130,12.846628,0.100307,602.093950,False,False
131,12.949417,0.102789,604.729972,False,False
132,13.048635,0.099218,602.093950,False,False
133,13.148287,0.099652,598.162908,False,False
134,13.247461,0.099174,602.093950,False,False
135,13.348745,0.101284,604.729972,False,False
136,13.451342,0.102597,604.999370,False,False
137,13.548069,0.096727,608.975135,False,False
138,13.646217,0.098149,608.975135,False,False
