frame,time_s,x,y,motion,freezing
0,0.000000,320.014100,241.254768,,False
1,0.033333,320.784938,240.449387,2.101115,False
2,0.066667,322.116495,240.028585,2.698731,False
3,0.100000,320.972863,240.625332,2.350111,False
4,0.133333,321.068310,240.173767,0.960150,False
5,0.166667,321.973449,241.063685,2.451959,False
6,0.200000,321.994522,241.358993,0.569810,False
7,0.233333,321.612385,240.717420,1.208099,False
8,0.266667,321.335238,239.846412,1.895843,False
9,0.300000,321.397158,240.882945,1.956576,False
10,0.333333,321.785395,241.368045,0.997151,False
11,0.366667,322.516619,240.549213,1.918306,False
12,0.400000,321.879648,240.361428,1.124191,False
13,0.433333,321.546465,239.456450,1.841606,False
14,0.466667,320.949834,238.812108,1.607536,False
15,0.500000,321.962545,237.378570,3.228230,False
16,0.533333,321.977200,238.382442,1.751811,False
17,0.566667,321.379845,238.775389,1.191105,False
18,0.600000,321.057778,238.707036,0.651730,False
19,0.633333,321.788785,239.181265,1.734933,False
20,0.666667,322.189032,239.346524,0.762626,False
21,0.700000,322.564520,238.472239,1.863424,False
22,0.733333,322.397412,240.031100,3.595109,False
23,0.766667,322.334411,240.465209,0.831667,False
24,0.800000,322.051795,241.172362,1.367743,False
25,0.833333,321.976002,242.122562,2.328219,False
26,0.866667,320.480607,242.195068,2.893739,False
27,0.900000,319.119402,242.151334,2.282183,False
28,0.933333,319.657166,240.975116,2.442663,False
29,0.966667,318.852436,241.066903,1.293617,False
30,1.000000,318.976654,241.118957,0.285872,False
31,1.033333,319.791409,241.902709,2.059923,False
32,1.066667,319.238771,242.345112,1.345109,False
33,1.100000,319.390367,242.832914,0.993036,False
34,1.133333,320.035514,243.541922,1.797539,False
35,1.166667,321.315226,243.262868,2.383972,False
36,1.200000,321.317152,243.397031,0.276265,False
37,1.233333,320.926866,243.420123,0.816744,False
38,1.266667,321.621586,244.075498,1.544251,False
39,1.300000,320.318944,243.326446,3.364504,False
40,1.333333,319.682833,242.453396,2.224033,False
41,1.366667,320.976728,241.800075,2.309713,False
42,1.400000,320.519310,242.425293,1.379333,False
43,1.433333,319.432473,243.499348,3.066183,False
44,1.466667,319.666779,242.494977,2.284324,False
45,1.500000,318.473678,242.373284,2.392327,False
46,1.533333,319.796381,241.287545,3.520549,False
47,1.566667,320.155912,242.386744,2.097005,False
48,1.600000,319.975967,242.643050,0.567450,False
49,1.633333,320.501451,243.964811,2.569146,False
50,1.666667,321.205790,244.734696,1.744596,False
51,1.700000,320.999399,244.014238,1.572229,False
52,1.733333,319.903294,243.729963,2.834770,False
53,1.766667,321.587116,243.540417,3.233607,False
54,1.800000,322.645887,242.544182,2.524706,False
55,1.833333,321.848427,242.081458,1.796992,False
56,1.866667,323.056389,240.873231,2.787559,False
57,1.900000,323.331751,241.425880,1.232392,False
58,1.933333,324.578644,241.805214,2.432367,False
59,1.966667,324.889084,241.489220,0.777135,False
60,2.000000,326.222125,240.142501,2.910167,False
61,2.033333,326.158747,240.905810,1.498229,False
62,2.066667,327.402397,241.277826,2.262529,False
63,2.100000,327.560900,239.908731,2.326396,False
64,2.133333,326.929973,240.405702,1.445058,False
65,2.166667,327.672129,240.217711,1.523293,False
66,2.200000,327.914829,240.677063,0.826023,False
67,2.233333,328.661143,240.733014,1.456185,False
68,2.266667,329.216482,241.311164,1.690284,False
69,2.300000,327.467808,241.556791,2.919316,False
70,2.333333,327.480318,241.823672,0.459799,False
71,2.366667,328.442080,240.894784,2.379642,False
72,2.400000,328.126494,242.108778,2.844362,False
73,2.433333,326.447028,240.038008,4.537616,False
74,2.466667,326.534054,240.575199,1.007941,False
75,2.500000,327.088756,241.132760,1.407859,False
76,2.533333,326.804832,241.482856,0.815964,False
77,2.566667,327.448399,242.249687,2.129005,False
78,2.600000,326.783848,241.572458,1.709974,False
79,2.633333,327.893285,242.172731,2.431036,False
80,2.666667,327.625199,241.772735,0.791873,False
81,2.700000,328.036288,240.881402,1.684439,False
82,2.733333,328.562772,239.849271,1.957811,False
83,2.766667,327.268786,239.745817,2.080779,False
84,2.800000,328.009404,239.544677,1.403584,False
85,2.833333,328.248695,240.260451,1.402599,False
86,2.866667,327.957961,242.222958,4.402984,False
87,2.900000,328.693031,243.052462,1.899522,False
88,2.933333,327.283561,243.573099,2.786058,False
89,2.966667,328.326669,244.506255,2.425518,False
90,3.000000,327.950941,245.736797,2.420145,False
91,3.033333,327.898432,245.031258,1.284394,False
92,3.066667,328.053008,244.759174,0.600025,False
93,3.100000,329.048115,245.020687,1.622206,False
94,3.133333,328.853636,245.013750,0.390219,False
95,3.166667,328.477903,245.285168,0.795138,False
96,3.200000,327.893270,245.453698,1.128165,False
97,3.233333,327.376755,246.905495,2.684125,False
98,3.266667,326.252099,246.737980,1.929220,False
99,3.300000,327.224766,248.119254,3.512968,False
100,3.333333,327.207554,248.069458,0.101902,False
101,3.366667,327.793402,248.926221,2.302463,False
102,3.400000,328.019612,248.088230,1.674425,False
103,3.433333,328.423997,248.513365,1.013898,False
104,3.466667,328.375188,250.327718,3.232871,False
105,3.500000,327.192939,250.211548,2.391807,False
106,3.533333,326.364199,249.085682,2.567689,False
107,3.566667,326.880016,249.083965,0.884822,False
108,3.600000,328.067561,249.381561,2.048558,False
109,3.633333,327.609228,249.911675,1.699525,False
110,3.666667,326.070715,249.614527,2.916829,False
111,3.700000,326.634960,250.119046,1.323039,False
112,3.733333,326.187340,251.167271,1.963193,False
113,3.766667,325.737183,250.711474,1.248067,False
114,3.800000,326.310960,251.966515,2.429765,False
115,3.833333,325.449036,250.725529,3.049290,False
116,3.866667,325.710046,250.788863,0.450444,False
117,3.900000,325.630229,250.949612,0.436486,False
118,3.933333,325.206409,252.623961,3.042704,False
119,3.966667,325.180317,251.874248,1.300479,False
120,4.000000,325.768300,252.128112,1.066252,False
121,4.033333,325.351084,251.522215,1.293273,False
122,4.066667,326.455319,251.151557,2.632587,False
123,4.100000,326.583502,252.008108,1.863937,False
124,4.133333,326.274936,253.576410,3.285617,False
125,4.166667,326.395914,254.260315,1.165496,False
126,4.200000,326.471240,254.112729,0.307922,False
127,4.233333,325.737062,253.226575,1.890181,False
128,4.266667,325.579314,253.418158,0.570150,False
129,4.300000,325.068352,252.208257,2.357577,False
130,4.333333,326.221805,252.321779,2.035352,False
131,4.366667,327.013987,252.798649,1.898209,False
132,4.400000,326.427160,252.542016,1.608292,False
133,4.433333,326.375052,252.119571,0.799324,False
134,4.466667,326.535874,251.574351,1.032706,False
135,4.500000,325.944477,249.881251,3.851808,False
136,4.533333,328.396809,250.960776,5.170934,False
137,4.566667,328.086403,250.219710,1.465851,False
138,4.600000,328.200464,249.995558,0.476420,False
139,4.633333,327.811369,251.350713,2.326284,False
140,4.666667,327.688462,251.743424,0.781644,False
141,4.700000,328.217335,251.383357,1.331285,False
142,4.733333,329.752416,251.760552,3.276276,False
143,4.766667,331.951863,252.741078,4.271956,False
144,4.800000,331.046385,252.863586,1.855998,False
145,4.833333,331.135172,253.979688,1.988173,False
146,4.866667,332.822984,254.095147,2.792147,False
147,4.900000,332.775572,253.963647,0.266152,False
148,4.933333,332.060628,254.710892,1.972156,False
149,4.966667,332.631530,253.774240,1.959549,False
150,5.000000,333.125649,253.618356,0.960834,False
151,5.033333,332.466636,252.934443,1.966873,False
152,5.066667,332.304215,252.653301,0.605228,False
153,5.100000,332.139553,253.158650,1.022536,False
154,5.133333,332.302506,251.945012,2.355175,False
155,5.166667,331.469539,251.420879,1.624710,False
156,5.200000,332.319084,252.681061,2.686566,False
157,5.233333,331.725990,251.476077,2.382679,False
158,5.266667,332.561646,250.667579,2.403092,False
159,5.300000,334.769438,251.152247,3.787584,False
160,5.333333,335.271933,252.315060,1.916219,False
161,5.366667,336.599108,251.666724,2.882696,False
162,5.400000,336.724454,251.626921,0.215554,False
163,5.433333,336.270297,252.052064,1.425470,False
164,5.466667,336.401399,253.546712,3.102533,False
165,5.500000,336.985096,252.733937,1.640078,False
166,5.533333,337.638863,253.613136,2.313944,False
167,5.566667,335.242748,253.899774,5.024116,False
168,5.600000,334.934673,253.199891,1.492800,False
169,5.633333,335.688766,253.850863,1.977476,False
170,5.666667,336.436799,253.643300,1.502192,False
171,5.700000,336.327121,254.500966,1.470116,False
172,5.733333,336.721295,253.876243,1.273951,False
173,5.766667,336.341957,254.086379,0.836618,False
174,5.800000,337.743533,254.119533,2.866342,False
175,5.833333,337.738515,253.709522,0.935822,False
176,5.866667,337.814182,252.315208,2.518557,False
177,5.900000,338.927826,252.441060,2.115920,False
178,5.933333,339.836403,251.542594,3.002868,False
179,5.966667,340.770471,251.689775,1.625618,False
180,6.000000,340.098626,251.913700,1.515747,False
181,6.033333,339.448824,252.787853,1.894653,False
182,6.066667,338.602472,251.818392,1.983358,False
183,6.100000,338.274353,253.001083,2.238106,False
184,6.133333,339.860041,252.622084,3.119108,False
185,6.166667,339.461229,253.076310,1.013576,False
186,6.200000,339.236928,254.966801,3.626967,False
187,6.233333,339.636032,253.845064,2.099400,False
188,6.266667,339.464525,254.440899,1.129622,False
189,6.300000,339.543847,253.583998,1.874818,False
190,6.333333,340.041333,253.004882,1.306699,False
191,6.366667,339.716504,252.082441,2.153637,False
192,6.400000,339.758702,252.094525,0.085410,False
193,6.433333,339.050931,250.680296,3.388124,False
194,6.466667,339.299112,249.509830,2.470749,False
195,6.500000,339.020418,249.179306,0.876855,False
196,6.533333,340.253100,249.791116,2.486649,False
197,6.566667,339.585667,251.615060,3.369401,False
198,6.600000,339.112354,251.367752,0.971311,False
199,6.633333,338.717559,250.829000,1.186696,False
200,6.666667,338.198338,251.770849,1.749327,False
201,6.700000,339.648412,250.340570,4.198833,False
202,6.733333,338.871002,249.668650,1.938137,False
203,6.766667,339.971900,248.713190,2.858157,False
204,6.800000,340.099607,247.520864,2.225443,False
205,6.833333,340.330974,247.649985,0.512967,False
206,6.866667,339.197148,247.644940,2.262822,False
207,6.900000,339.331267,248.651027,1.939565,False
208,6.933333,340.073675,247.835986,2.371271,False
209,6.966667,339.773930,246.432737,2.563910,False
210,7.000000,339.353007,247.411949,2.166198,False
211,7.033333,340.858862,247.443689,2.560501,False
212,7.066667,338.756137,247.101543,3.340236,False
213,7.100000,340.404494,247.383384,3.390304,False
214,7.133333,341.031892,246.977643,1.487588,False
215,7.166667,342.123439,246.090057,2.916104,False
216,7.200000,341.565897,245.195719,2.412454,False
217,7.233333,340.873631,246.855105,3.521455,False
218,7.266667,340.432494,247.538323,1.584769,False
219,7.300000,341.753444,246.558102,2.916684,False
220,7.333333,342.931183,246.472802,2.010176,False
221,7.366667,344.242374,246.131179,2.673431,False
222,7.400000,344.143076,247.090062,2.004777,False
223,7.433333,344.513346,246.263753,1.711041,False
224,7.466667,345.442328,246.390290,1.664429,False
225,7.500000,345.933522,246.045187,1.058757,False
